epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3551.41,1.53028,0.88114,1.03982,0.91594,0.7486,0.78625,0.37214,1.9448,1.07025,1.50612,0.0004357,0.0004357,0.0004357
59,3612.19,1.52958,0.89014,1.04995,0.91637,0.74753,0.78893,0.37924,1.94616,1.06637,1.4981,0.0004258,0.0004258,0.0004258
60,3673.63,1.51626,0.87815,1.04212,0.91051,0.74623,0.78535,0.3797,1.91425,1.05885,1.4902,0.0004159,0.0004159,0.0004159
61,3734.73,1.52032,0.87251,1.04509,0.90899,0.74429,0.77906,0.38034,1.90481,1.06316,1.47345,0.000406,0.000406,0.000406
62,3795.71,1.51808,0.87193,1.03519,0.90775,0.75749,0.79195,0.38445,1.91733,1.0558,1.5043,0.0003961,0.0003961,0.0003961
63,3856.41,1.48414,0.85596,1.02673,0.90787,0.7549,0.78762,0.38497,1.89703,1.04933,1.48267,0.0003862,0.0003862,0.0003862
64,3917.96,1.49552,0.85844,1.03348,0.91397,0.7615,0.79853,0.3949,1.86489,1.04161,1.46398,0.0003763,0.0003763,0.0003763
65,3979.44,1.48085,0.85188,1.02393,0.91444,0.75058,0.79182,0.38209,1.91766,1.0495,1.5062,0.0003664,0.0003664,0.0003664
66,4040.91,1.47125,0.83568,1.0166,0.92636,0.75612,0.80015,0.3909,1.87871,1.03844,1.46369,0.0003565,0.0003565,0.0003565
67,4101.92,1.45188,0.82763,1.02929,0.91421,0.75768,0.79537,0.38677,1.90461,1.05624,1.47712,0.0003466,0.0003466,0.0003466
68,4163.97,1.44408,0.82591,1.01224,0.91856,0.75838,0.79502,0.38353,1.90325,1.05133,1.49097,0.0003367,0.0003367,0.0003367
69,4225.56,1.44362,0.82678,1.01521,0.92032,0.74916,0.79795,0.38149,1.91923,1.04183,1.50338,0.0003268,0.0003268,0.0003268
70,4287,1.42589,0.80247,1.00764,0.92386,0.7552,0.80173,0.38889,1.90396,1.02564,1.48896,0.0003169,0.0003169,0.0003169
